Wall time,Step,Value
1507659288.5627036,49,0.008261923678219318
1507659397.3373127,50,0.008367534726858139
1507659506.3721018,51,0.007779271341860294
1507659617.4177802,52,0.007775748614221811
1507659727.4461517,53,0.007988782599568367
1507659836.51602,54,0.007571802474558353
1507659948.026498,55,0.008144695311784744
1507660056.7234683,56,0.007722802925854921
1507660165.714834,57,0.007520593702793121
1507660274.6146896,58,0.007842679508030415
1507660391.4893482,59,0.008490060456097126
1507660500.2142372,60,0.007664241828024387
1507660628.5973084,61,0.008234221488237381
1507660737.9758675,62,0.007754699792712927
1507660847.5176191,63,0.008278061635792255
1507660956.4047298,64,0.00767017574980855
1507661065.559778,65,0.007862063124775887
1507661175.4003153,66,0.0076693641021847725
1507661284.1346147,67,0.007861643098294735
1507661393.214632,68,0.007712283171713352
1507661503.208165,69,0.008441125974059105
1507661612.6391187,70,0.007452293764799833
1507661721.933668,71,0.007859494537115097
1507661830.5244265,72,0.007286727428436279
1507661940.261559,73,0.007721018046140671
1507662049.2384436,74,0.007516729645431042
1507662158.0476692,75,0.007648334372788668
1507662266.5555568,76,0.00752228545024991
1507662375.1319826,77,0.007825745269656181
1507662484.0467508,78,0.007116739172488451
1507662594.7833679,79,0.007370590697973967
1507662703.8322766,80,0.007738326210528612
1507662812.645735,81,0.007361895404756069
1507662921.741419,82,0.007471493910998106
1507663030.7052681,83,0.007354844827204943
1507663139.2818804,84,0.008205641061067581
1507663248.1613748,85,0.00761772645637393
1507663358.4266074,86,0.007244327571243048
1507663467.6973763,87,0.007291048299521208
1507663576.5818174,88,0.007270981557667255
1507663685.7712448,89,0.007150744553655386
